NEIGHBOURHOOD_158,count
North Toronto,64
Guildwood,66
Woodbine-Lumsden,67
Blake-Jones,69
Broadview North,77
NSA,82
Playter Estates-Danforth,88
Ionview,89
University,92
Old East York,99
Yonge-St.Clair,101
South Eglinton-Davisville,103
Bay-Cloverhill,107
West Queen West,110
Lambton Baby Point,110
Danforth,110
Regent Park,111
Woodbine Corridor,115
Dufferin Grove,122
Caledonia-Fairbank,124
Taylor-Massey,127
Cabbagetown-South St.James Town,128
Beechborough-Greenbrook,129
Bendale South,131
Flemingdon Park,132
Dovercourt Village,137
Fort York-Liberty Village,142
Avondale,149
Casa Loma,150
Palmerston-Little Italy,153
Yonge-Eglinton,154
North Riverdale,154
Centennial Scarborough,157
Little Portugal,160
Oakridge,161
North St.James Town,164
Roncesvalles,165
Etobicoke West Mall,165
Corso Italia-Davenport,169
Church-Wellesley,170
Weston-Pelham Park,173
Bayview Woods-Steeles,174
Wychwood,174
Danforth East York,176
Harbourfront-CityPlace,176
Pleasant View,179
East L'Amoreaux,181
Thorncliffe Park,182
New Toronto,183
High Park North,187
Maple Leaf,191
Markland Wood,191
Parkwoods-O'Connor Hills,193
Rustic,195
Long Branch,196
Trinity-Bellwoods,199
Greenwood-Coxwell,205
Runnymede-Bloor West Village,205
St Lawrence-East Bayfront-The Islands,206
Scarborough Village,210
South Parkdale,214
Yonge-Doris,215
Humber Bay Shores,217
L'Amoreaux West,218
Humber Heights-Westmount,219
Victoria Village,224
Mount Pleasant East,225
Yonge-Bay Corridor,226
Henry Farm,228
Fenside-Parkwoods,228
Bridle Path-Sunnybrook-York Mills,228
Highland Creek,230
Morningside,234
Cliffcrest,235
Keelesdale-Eglinton West,240
Mount Dennis,246
The Beaches,247
Hillcrest Village,247
O'Connor-Parkview,249
Forest Hill North,250
Briar Hill-Belgravia,250
Humewood-Cedarvale,251
Willowdale West,256
Birchcliffe-Cliffside,258
Junction-Wallace Emerson,268
Alderwood,270
East End-Danforth,272
Malvern West,274
Newtonbrook East,279
Eglinton East,282
Kennedy Park,289
Kingsway South,293
High Park-Swansea,296
Elms-Old Rexdale,297
Oakwood Village,301
East Willowdale,304
Junction Area,306
Steeles,308
Downtown Yonge East,317
Princess-Rosethorn,321
Annex,323
Kensington-Chinatown,324
West Rouge,325
Bayview Village,327
Malvern East,327
Mimico-Queensway,334
Thistletown-Beaumond Heights,339
Englemount-Lawrence,342
Golfdale-Cedarbrae-Woburn,355
Moss Park,359
Lawrence Park North,359
Edenbridge-Humber Valley,361
Forest Hill South,361
Rexdale-Kipling,370
Wellington Place,384
Tam O'Shanter-Sullivan,391
Banbury-Don Mills,393
Lansing-Westgate,396
Leaside-Bennington,399
Bathurst Manor,403
West Hill,414
South Riverdale,415
Westminster-Branson,420
St.Andrew-Windfields,422
Lawrence Park South,424
Don Valley Village,433
Agincourt North,434
Woburn North,437
Brookhaven-Amesbury,451
Eringate-Centennial-West Deane,468
Rosedale-Moore Park,473
Rockcliffe-Smythe,486
Agincourt South-Malvern West,509
Bendale-Glen Andrew,529
Downsview,537
Islington,537
Clairlea-Birchmount,543
Morningside Heights,555
Stonegate-Queensway,557
Pelmo Park-Humberlea,567
Black Creek,572
Willowridge-Martingrove-Richview,576
Dorset Park,580
Weston,588
Kingsview Village-The Westway,628
Humbermede,632
Clanton Park,673
Newtonbrook West,726
Mount Olive-Silverstone-Jamestown,779
Bedford Park-Nortown,812
Glenfield-Jane Heights,833
Wexford/Maryvale,842
Yorkdale-Glen Park,859
Oakdale-Beverley Heights,860
Milliken,860
Humber Summit,1009
Etobicoke City Centre,1177
York University Heights,1431
West Humber-Clairville,4563
